Role,DyadID,Time,Effectiveness
1,48,0,11.806
1,48,1,66.667
1,49,0,32.87
1,49,1,88.657
1,50,0,64.815
1,50,1,23.843
1,51,0,25.231
1,51,1,42.593
1,52,0,35.648
1,52,1,59.259
1,53,0,46.296
1,53,1,86.111
1,54,0,54.398
1,54,1,100
1,55,0,70.833
1,55,1,96.065
1,56,0,32.639
1,56,1,90.278
1,57,0,33.333
1,57,1,54.398
1,58,0,69.676
1,58,1,88.194
1,60,0,0
1,60,1,17.13
1,61,0,59.028
1,61,1,56.713
1,62,0,49.074
1,62,1,64.815
1,63,0,50.926
1,63,1,89.815
1,65,0,51.852
1,65,1,70.37
1,66,0,70.602
1,66,1,87.5
1,67,0,18.981
1,67,1,0
1,68,0,47.454
1,68,1,56.944
1,70,0,34.491
1,70,1,95.602
1,71,0,34.491
1,71,1,95.139
1,72,0,72.685
1,72,1,100
1,73,0,56.481
1,73,1,75
1,75,0,71.759
1,75,1,80.556
