DyadID,Role,block,effectiveness,Time_new,Condition,Time,Condition_new
48,1,1,60.46511628,Pre,Vaseline,1,0
48,1,1,41.86046512,Post,Vaseline,2,0
48,1,2,74.41860465,Pre,Thermedol,1,1
48,1,2,76.74418605,Post,Thermedol,2,1
49,1,1,0,Pre,Vaseline,1,0
49,1,1,0,Post,Vaseline,2,0
49,1,2,69.76744186,Pre,Thermedol,1,1
49,1,2,46.51162791,Post,Thermedol,2,1
50,1,1,51.1627907,Pre,Vaseline,1,0
50,1,1,74.41860465,Post,Vaseline,2,0
50,1,2,62.79069767,Pre,Thermedol,1,1
50,1,2,62.79069767,Post,Thermedol,2,1
51,1,1,6.976744186,Pre,Vaseline,1,0
51,1,1,4.651162791,Post,Vaseline,2,0
51,1,2,60.46511628,Pre,Thermedol,1,1
51,1,2,53.48837209,Post,Thermedol,2,1
52,1,1,27.90697674,Pre,Vaseline,1,0
52,1,1,27.90697674,Post,Vaseline,2,0
52,1,2,69.76744186,Pre,Thermedol,1,1
52,1,2,69.76744186,Post,Thermedol,2,1
53,1,1,6.976744186,Pre,Vaseline,1,0
53,1,1,9.302325581,Post,Vaseline,2,0
53,1,2,86.04651163,Pre,Thermedol,1,1
53,1,2,88.37209302,Post,Thermedol,2,1
54,1,1,51.1627907,Pre,Vaseline,1,0
54,1,1,53.48837209,Post,Vaseline,2,0
54,1,2,97.6744186,Pre,Thermedol,1,1
54,1,2,95.34883721,Post,Thermedol,2,1
55,1,1,4.651162791,Pre,Vaseline,1,0
55,1,1,13.95348837,Post,Vaseline,2,0
55,1,2,88.37209302,Pre,Thermedol,1,1
55,1,2,69.76744186,Post,Thermedol,2,1
56,1,1,51.1627907,Pre,Vaseline,1,0
56,1,1,51.1627907,Post,Vaseline,2,0
56,1,2,100,Pre,Thermedol,1,1
56,1,2,93.02325581,Post,Thermedol,2,1
57,1,1,9.302325581,Pre,Vaseline,1,0
57,1,1,27.90697674,Post,Vaseline,2,0
57,1,2,65.11627907,Pre,Thermedol,1,1
57,1,2,76.74418605,Post,Thermedol,2,1
58,1,1,4.651162791,Pre,Vaseline,1,0
58,1,1,6.976744186,Post,Vaseline,2,0
58,1,2,93.02325581,Pre,Thermedol,1,1
58,1,2,93.02325581,Post,Thermedol,2,1
60,1,1,18.60465116,Pre,Vaseline,1,0
60,1,1,23.25581395,Post,Vaseline,2,0
60,1,2,18.60465116,Pre,Thermedol,1,1
60,1,2,9.302325581,Post,Thermedol,2,1
61,1,1,0,Pre,Vaseline,1,0
61,1,1,0,Post,Vaseline,2,0
61,1,2,81.39534884,Pre,Thermedol,1,1
61,1,2,86.04651163,Post,Thermedol,2,1
62,1,1,23.25581395,Pre,Vaseline,1,0
62,1,1,62.79069767,Post,Vaseline,2,0
62,1,2,79.06976744,Pre,Thermedol,1,1
62,1,2,81.39534884,Post,Thermedol,2,1
63,1,1,23.25581395,Pre,Vaseline,1,0
63,1,1,62.79069767,Post,Vaseline,2,0
63,1,2,79.06976744,Pre,Thermedol,1,1
63,1,2,81.39534884,Post,Thermedol,2,1
65,1,1,0,Pre,Vaseline,1,0
65,1,1,0,Post,Vaseline,2,0
65,1,2,83.72093023,Pre,Thermedol,1,1
65,1,2,83.72093023,Post,Thermedol,2,1
66,1,1,20.93023256,Pre,Vaseline,1,0
66,1,1,18.60465116,Post,Vaseline,2,0
66,1,2,88.37209302,Pre,Thermedol,1,1
66,1,2,88.37209302,Post,Thermedol,2,1
67,1,1,4.651162791,Pre,Vaseline,1,0
67,1,1,4.651162791,Post,Vaseline,2,0
67,1,2,83.72093023,Pre,Thermedol,1,1
67,1,2,90.69767442,Post,Thermedol,2,1
68,1,1,0,Pre,Vaseline,1,0
68,1,1,0,Post,Vaseline,2,0
68,1,2,65.11627907,Pre,Thermedol,1,1
68,1,2,65.11627907,Post,Thermedol,2,1
70,1,1,0,Pre,Vaseline,1,0
70,1,1,6.976744186,Post,Vaseline,2,0
70,1,2,93.02325581,Pre,Thermedol,1,1
70,1,2,95.34883721,Post,Thermedol,2,1
71,1,1,18.60465116,Pre,Vaseline,1,0
71,1,1,13.95348837,Post,Vaseline,2,0
71,1,2,93.02325581,Pre,Thermedol,1,1
71,1,2,60.46511628,Post,Thermedol,2,1
72,1,1,4.651162791,Pre,Vaseline,1,0
72,1,1,4.651162791,Post,Vaseline,2,0
72,1,2,90.69767442,Pre,Thermedol,1,1
72,1,2,69.76744186,Post,Thermedol,2,1
73,1,1,2.325581395,Pre,Vaseline,1,0
73,1,1,0,Post,Vaseline,2,0
73,1,2,88.37209302,Pre,Thermedol,1,1
73,1,2,88.37209302,Post,Thermedol,2,1
75,1,1,18.60465116,Pre,Vaseline,1,0
75,1,1,18.60465116,Post,Vaseline,2,0
75,1,2,83.72093023,Pre,Thermedol,1,1
75,1,2,83.72093023,Post,Thermedol,2,1
