DyadID,N,Condition,block,Site,Color,auc,trials_c,Condition_new
48,1,Vaseline,1,4,1,0.77701111,-3.5,0
48,2,Vaseline,1,1,1,0.466770799,-2.5,0
48,3,Vaseline,1,3,1,0.438266321,-1.5,0
48,4,Vaseline,1,1,1,-0.249809104,-0.5,0
48,5,Vaseline,1,4,1,-0.001514329,0.5,0
48,6,Vaseline,1,2,1,-0.35077864,1.5,0
48,7,Vaseline,1,3,1,0.051302213,2.5,0
48,8,Vaseline,1,2,1,-0.152626432,3.5,0
48,1,Thermedol,2,4,0,0.118653125,-3.5,1
48,2,Thermedol,2,1,0,-0.416278336,-2.5,1
48,3,Thermedol,2,3,0,0.472585555,-1.5,1
48,4,Thermedol,2,1,0,-0.299980486,-0.5,1
48,5,Thermedol,2,4,0,0.132046456,0.5,1
48,6,Thermedol,2,2,0,-0.101045731,1.5,1
48,7,Thermedol,2,3,0,0.096742874,2.5,1
48,8,Thermedol,2,2,0,-0.373576223,3.5,1
50,1,Vaseline,1,1,0,1.472347674,-3.5,0
50,2,Vaseline,1,1,0,-0.2885787,-2.5,0
50,3,Vaseline,1,3,0,0.734225362,-1.5,0
50,4,Vaseline,1,2,0,0.62747174,-0.5,0
50,5,Vaseline,1,4,0,0.813706473,0.5,0
50,6,Vaseline,1,4,0,0.034678775,1.5,0
50,7,Vaseline,1,3,0,0.473341019,2.5,0
50,8,Vaseline,1,2,0,0.464097341,3.5,0
50,1,Thermedol,2,1,1,1.600470841,-3.5,1
50,2,Thermedol,2,1,1,0.251599511,-2.5,1
50,3,Thermedol,2,3,1,0.195219324,-1.5,1
50,4,Thermedol,2,2,1,0.06533923,-0.5,1
50,5,Thermedol,2,4,1,-0.088102207,0.5,1
50,6,Thermedol,2,4,1,0.538405749,1.5,1
50,7,Thermedol,2,3,1,0.082295961,2.5,1
50,8,Thermedol,2,2,1,-0.528766039,3.5,1
51,1,Vaseline,1,1,1,2.499730274,-3.5,0
51,2,Vaseline,1,2,1,-0.822911531,-2.5,0
51,3,Vaseline,1,4,1,0.141334903,-1.5,0
51,4,Vaseline,1,1,1,1.2161909,-0.5,0
51,5,Vaseline,1,3,1,-0.834830233,0.5,0
51,6,Vaseline,1,2,1,-0.677949544,1.5,0
51,7,Vaseline,1,4,1,4.822347491,2.5,0
51,8,Vaseline,1,3,1,-0.641478269,3.5,0
51,1,Thermedol,2,1,1,2.75587595,-3.5,1
51,2,Thermedol,2,4,1,3.516539507,-2.5,1
51,3,Thermedol,2,4,1,0.23323862,-1.5,1
51,4,Thermedol,2,2,1,-0.284329857,-0.5,1
51,5,Thermedol,2,3,1,-2.010388066,0.5,1
51,6,Thermedol,2,1,1,2.725745335,1.5,1
51,7,Thermedol,2,2,1,-0.406019894,2.5,1
51,8,Thermedol,2,3,1,-3.888205295,3.5,1
52,1,Vaseline,1,1,0,9.100163624,-3.5,0
52,2,Vaseline,1,2,0,4.072783434,-2.5,0
52,3,Vaseline,1,4,0,0.881940065,-1.5,0
52,4,Vaseline,1,4,0,2.537772988,-0.5,0
52,5,Vaseline,1,1,0,1.849792968,0.5,0
52,6,Vaseline,1,3,0,-0.388420904,1.5,0
52,7,Vaseline,1,3,0,1.082975849,2.5,0
52,8,Vaseline,1,2,0,5.262645437,3.5,0
52,1,Thermedol,2,1,1,1.720848053,-3.5,1
52,2,Thermedol,2,2,1,-0.554035595,-2.5,1
52,3,Thermedol,2,4,1,-0.862282127,-1.5,1
52,4,Thermedol,2,4,1,-0.233347687,-0.5,1
52,5,Thermedol,2,1,1,-1.817322898,0.5,1
52,6,Thermedol,2,3,1,-6.800238173,1.5,1
52,7,Thermedol,2,3,1,3.334830584,2.5,1
52,8,Thermedol,2,2,1,-1.928907998,3.5,1
53,1,Vaseline,1,2,1,5.140776821,-3.5,0
53,2,Vaseline,1,3,1,-0.846456488,-2.5,0
53,3,Vaseline,1,1,1,-1.250607787,-1.5,0
53,4,Vaseline,1,3,1,4.543883862,-0.5,0
53,5,Vaseline,1,2,1,0.147029465,0.5,0
53,6,Vaseline,1,4,1,-0.711160557,1.5,0
53,7,Vaseline,1,1,1,-0.233034359,2.5,0
53,8,Vaseline,1,4,1,2.063139127,3.5,0
53,1,Thermedol,2,2,0,2.226146511,-3.5,1
53,2,Thermedol,2,3,0,-0.331697598,-2.5,1
53,3,Thermedol,2,1,0,-0.497746211,-1.5,1
53,4,Thermedol,2,3,0,0.266125032,-0.5,1
53,5,Thermedol,2,2,0,-0.336178719,0.5,1
53,6,Thermedol,2,4,0,-0.398638327,1.5,1
53,7,Thermedol,2,1,0,-1.496866119,2.5,1
53,8,Thermedol,2,4,0,-0.091319234,3.5,1
54,1,Vaseline,1,2,1,4.01120252,-3.5,0
54,2,Vaseline,1,3,1,1.102416188,-2.5,0
54,3,Vaseline,1,1,1,-0.249034109,-1.5,0
54,4,Vaseline,1,1,1,-0.249407867,-0.5,0
54,5,Vaseline,1,4,1,0.385280328,0.5,0
54,6,Vaseline,1,4,1,0.043042535,1.5,0
54,7,Vaseline,1,3,1,-1.277915345,2.5,0
54,8,Vaseline,1,2,1,2.407408092,3.5,0
54,1,Thermedol,2,2,0,4.509839023,-3.5,1
54,2,Thermedol,2,3,0,-0.184997322,-2.5,1
54,3,Thermedol,2,1,0,-0.490973322,-1.5,1
54,4,Thermedol,2,1,0,-0.539894772,-0.5,1
54,5,Thermedol,2,4,0,0.810383495,0.5,1
54,6,Thermedol,2,4,0,-0.065497709,1.5,1
54,7,Thermedol,2,3,0,0.06698016,2.5,1
54,8,Thermedol,2,2,0,-0.461661739,3.5,1
55,1,Vaseline,1,1,0,10.70140354,-3.5,0
55,2,Vaseline,1,3,0,4.64806196,-2.5,0
55,3,Vaseline,1,4,0,4.403468353,-1.5,0
55,4,Vaseline,1,3,0,4.638450171,-0.5,0
55,5,Vaseline,1,4,0,10.30763022,0.5,0
55,6,Vaseline,1,2,0,5.71708562,1.5,0
55,7,Vaseline,1,1,0,14.20514882,2.5,0
55,8,Vaseline,1,2,0,14.35239724,3.5,0
55,1,Thermedol,2,1,1,3.585221184,-3.5,1
55,2,Thermedol,2,3,1,-0.761389251,-2.5,1
55,3,Thermedol,2,4,1,1.31689501,-1.5,1
55,4,Thermedol,2,3,1,-1.31590675,-0.5,1
55,5,Thermedol,2,4,1,-0.749146388,0.5,1
55,6,Thermedol,2,2,1,2.880719103,1.5,1
55,7,Thermedol,2,1,1,-1.549507914,2.5,1
55,8,Thermedol,2,2,1,-13.31496983,3.5,1
56,1,Vaseline,1,2,0,2.561277836,-3.5,0
56,2,Vaseline,1,3,0,3.042364381,-2.5,0
56,3,Vaseline,1,3,0,1.571290909,-1.5,0
56,4,Vaseline,1,1,0,0.986957186,-0.5,0
56,5,Vaseline,1,4,0,1.032051496,0.5,0
56,6,Vaseline,1,2,0,0.238573778,1.5,0
56,7,Vaseline,1,4,0,0.328290595,2.5,0
56,8,Vaseline,1,1,0,0.458650195,3.5,0
