Role,DyadID,Site,Current_Color,Current pain,Condition,Trials,Counterbalance,Temperature,Condition_new,Experimenter,Block,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
2,2,2,1,46,Thermedol,1,1,0,1,1,1,0.528859019,0.497746884,0.419260754,0.370624988,0.578086091,0.610449985,0.489162515,0.324916117,0.192889885,0.101168474,0.02289073,-0.044480142,-0.095613328,-0.128954754,-0.162793463,-0.186008109
2,2,3,1,46,Thermedol,2,1,0,1,1,1,0.435403772,0.61468159,0.583619124,0.460597925,0.455110995,0.436101612,0.360810822,0.248332431,0.150182276,0.075697995,0.005094445,-0.056444201,-0.040473973,-0.056908648,-0.05181084,0.170623413
2,2,4,1,46,Thermedol,3,1,0,1,1,1,0.025207688,-0.027551281,-0.039742762,0.207401778,0.391036054,0.361053961,0.265960673,0.162020489,0.066661856,0.001793857,-0.021822528,-0.056998072,-0.100832713,-0.128050609,-0.134482651,-0.156699026
2,2,1,1,46,Thermedol,4,1,0,1,1,1,0.097312501,0.220067346,0.249338111,0.191136404,0.291564754,0.417835212,0.376292194,0.279914308,0.176119938,0.089286793,0.017487524,-0.033621921,-0.075988461,-0.111636558,-0.14085291,-0.16202845
2,2,4,1,46,Thermedol,5,1,0,1,1,1,0.212639318,0.234093707,0.170368075,0.11774968,0.103483764,0.068670967,0.020382444,-0.027789002,-0.060719634,-0.056079788,-0.055450775,-0.068843209,-0.094621996,-0.123113158,-0.135819477,-0.151500511
2,2,3,1,46,Thermedol,6,1,0,1,1,1,0.192767378,0.210749961,0.156557419,0.106145341,0.101288337,0.059998713,0.016946517,-0.029067963,-0.07386707,-0.117320814,-0.154311133,-0.182503922,-0.188295773,-0.203032495,-0.227432075,-0.255528474
2,2,1,1,46,Thermedol,7,1,0,1,1,1,0.30082782,0.245214807,0.137258271,0.037465853,0.146615258,0.457788756,0.522072014,0.446125428,0.309273814,0.172476517,0.071452253,0.026218115,0.004163209,-0.029645048,-0.069690723,-0.101704099
2,2,2,1,46,Thermedol,8,1,0,1,1,1,0.043111456,0.060974072,0.018623426,-0.039391142,-0.090913078,-0.087468823,-0.04866167,-0.063611309,-0.100323987,-0.080219042,-0.056605548,-0.085217119,-0.115744742,-0.001540399,0.134422225,0.13280599
2,2,2,0,46,Vaseline,1,1,0,0,1,2,0.512458147,0.666265953,0.680191634,0.619466375,0.530801658,0.439972691,0.348267415,0.262320241,0.18580629,0.147312969,0.144152442,0.118467854,0.087121727,0.056761247,0.030543853,0.009353766
2,2,3,0,46,Vaseline,2,1,0,0,1,2,-0.023059182,-0.0208762,-0.031351392,-0.034008519,-0.025822799,-0.022226982,-0.027674347,-0.030810211,-0.030307136,-0.023787369,-0.02107013,-0.019258107,-0.01663632,-0.017325742,-0.02101952,-0.027696394
2,2,4,0,46,Vaseline,3,1,0,0,1,2,0.015305606,0.063555381,0.073687151,0.069386973,0.055557028,0.042030981,0.036601806,0.033746444,0.026639296,0.016928297,0.007624309,-0.00104486,-0.004068463,-0.007819628,-0.01311547,-0.02013271
2,2,1,0,46,Vaseline,4,1,0,0,1,2,-0.064833311,-0.051841732,-0.04673205,-0.044144791,-0.018826637,0.016544477,0.031404585,0.031296621,0.029181337,0.028681334,0.020679074,0.010727404,0.003181329,-0.000896273,-0.003255359,-0.005664492
2,2,4,0,46,Vaseline,5,1,0,0,1,2,-0.074284431,-0.052096211,-0.052503412,-0.050435965,-0.038355,-0.002771251,0.016215155,0.013999687,0.002996858,-0.013837517,-0.030743351,-0.044870044,-0.058308795,-0.074208586,-0.087977807,-0.101563341
2,2,3,0,46,Vaseline,6,1,0,0,1,2,-0.11453727,-0.123384678,-0.136319015,-0.099281806,0.097802061,0.273328572,0.342500185,0.344959905,0.300142808,0.237968779,0.198098227,0.221307797,0.220938008,0.192813625,0.151140152,0.104306061
2,2,1,0,46,Vaseline,7,1,0,0,1,2,-0.020454783,-0.025375618,-0.041032513,-0.059526229,-0.062927687,-0.062598646,-0.07094905,-0.073698236,-0.083488757,-0.099375386,-0.113943201,-0.12061322,-0.116049463,-0.107990575,-0.099595024,-0.093477867
