DyadID,Role,Time,Effectiveness
92,1,0,54.398
92,1,1,70.37
93,1,0,29.63
93,1,1,73.148
94,1,0,75.926
94,1,1,85.648
95,1,0,37.269
95,1,1,86.343
96,1,0,55.324
96,1,1,93.981
97,1,0,59.722
97,1,1,88.657
99,1,0,51.389
99,1,1,81.481
100,1,0,53.009
100,1,1,100
101,1,0,61.806
101,1,1,90.972
102,1,0,50
102,1,1,78.704
103,1,0,78.241
103,1,1,95.602
104,1,0,61.574
104,1,1,78.704
105,1,0,25.926
105,1,1,54.398
106,1,0,19.213
106,1,1,56.25
107,1,0,79.861
107,1,1,78.704
108,1,0,63.194
108,1,1,94.444
109,1,0,45.139
109,1,1,81.25
110,1,0,46.759
110,1,1,65.046
111,1,0,66.435
111,1,1,100
112,1,0,40.278
112,1,1,76.852
113,1,0,62.037
113,1,1,93.75
114,1,0,21.296
114,1,1,47.454
115,1,0,65.741
115,1,1,0
116,1,0,26.852
116,1,1,72.685
117,1,0,57.176
117,1,1,91.898
118,1,0,56.25
118,1,1,66.898
119,1,0,64.815
119,1,1,74.074
127,1,0,46.528
127,1,1,74.537
129,1,0,67.13
129,1,1,91.435
130,1,0,20.602
130,1,1,76.852
