DyadID,Time_new,Condition_new,Time,Condition,effectiveness
92,pre,Vaseline,1,0,47.28682171
93,pre,Vaseline,1,0,55.81395349
94,pre,Vaseline,1,0,10.07751938
95,pre,Vaseline,1,0,18.60465116
96,pre,Vaseline,1,0,36.43410853
97,pre,Vaseline,1,0,6.976744186
99,pre,Vaseline,1,0,0
100,pre,Vaseline,1,0,1.550387597
101,pre,Vaseline,1,0,13.17829457
102,pre,Vaseline,1,0,15.50387597
103,pre,Vaseline,1,0,4.651162791
104,pre,Vaseline,1,0,11.62790698
105,pre,Vaseline,1,0,25.58139535
106,pre,Vaseline,1,0,41.08527132
107,pre,Vaseline,1,0,7.751937984
108,pre,Vaseline,1,0,5.426356589
109,pre,Vaseline,1,0,51.9379845
110,pre,Vaseline,1,0,32.55813953
111,pre,Vaseline,1,0,5.426356589
112,pre,Vaseline,1,0,20.15503876
113,pre,Vaseline,1,0,15.50387597
114,pre,Vaseline,1,0,17.05426357
115,pre,Vaseline,1,0,3.100775194
116,pre,Vaseline,1,0,14.72868217
117,pre,Vaseline,1,0,33.33333333
118,pre,Vaseline,1,0,34.88372093
119,pre,Vaseline,1,0,0
127,pre,Vaseline,1,0,9.302325581
129,pre,Vaseline,1,0,12.40310078
130,pre,Vaseline,1,0,2.325581395
92,post,Vaseline,2,0,36.43410853
93,post,Vaseline,2,0,23.25581395
94,post,Vaseline,2,0,11.62790698
95,post,Vaseline,2,0,19.37984496
96,post,Vaseline,2,0,49.6124031
97,post,Vaseline,2,0,26.35658915
99,post,Vaseline,2,0,24.80620155
100,post,Vaseline,2,0,3.875968992
101,post,Vaseline,2,0,25.58139535
102,post,Vaseline,2,0,14.72868217
103,post,Vaseline,2,0,8.527131783
104,post,Vaseline,2,0,6.976744186
105,post,Vaseline,2,0,24.80620155
106,post,Vaseline,2,0,3.875968992
107,post,Vaseline,2,0,36.43410853
108,post,Vaseline,2,0,30.23255814
109,post,Vaseline,2,0,19.37984496
110,post,Vaseline,2,0,17.82945736
111,post,Vaseline,2,0,13.17829457
112,post,Vaseline,2,0,27.13178295
113,post,Vaseline,2,0,5.426356589
114,post,Vaseline,2,0,16.27906977
115,post,Vaseline,2,0,31.00775194
116,post,Vaseline,2,0,9.302325581
117,post,Vaseline,2,0,42.63565891
118,post,Vaseline,2,0,52.71317829
119,post,Vaseline,2,0,4.651162791
127,post,Vaseline,2,0,6.976744186
129,post,Vaseline,2,0,47.28682171
130,post,Vaseline,2,0,3.100775194
92,pre,Thermedol,1,1,76.74418605
93,pre,Thermedol,1,1,91.47286822
94,pre,Thermedol,1,1,86.82170543
95,pre,Thermedol,1,1,79.06976744
96,pre,Thermedol,1,1,96.89922481
97,pre,Thermedol,1,1,67.44186047
99,pre,Thermedol,1,1,79.06976744
100,pre,Thermedol,1,1,80.62015504
101,pre,Thermedol,1,1,89.14728682
102,pre,Thermedol,1,1,79.06976744
103,pre,Thermedol,1,1,85.27131783
104,pre,Thermedol,1,1,77.51937984
105,pre,Thermedol,1,1,46.51162791
106,pre,Thermedol,1,1,60.46511628
107,pre,Thermedol,1,1,84.49612403
108,pre,Thermedol,1,1,82.94573643
109,pre,Thermedol,1,1,79.84496124
110,pre,Thermedol,1,1,50.3875969
111,pre,Thermedol,1,1,89.92248062
112,pre,Thermedol,1,1,78.29457364
113,pre,Thermedol,1,1,96.89922481
114,pre,Thermedol,1,1,48.0620155
115,pre,Thermedol,1,1,90.69767442
116,pre,Thermedol,1,1,75.96899225
117,pre,Thermedol,1,1,86.04651163
118,pre,Thermedol,1,1,86.04651163
119,pre,Thermedol,1,1,89.14728682
127,pre,Thermedol,1,1,79.06976744
129,pre,Thermedol,1,1,98.4496124
130,pre,Thermedol,1,1,85.27131783
92,post,Thermedol,2,1,85.27131783
93,post,Thermedol,2,1,73.64341085
94,post,Thermedol,2,1,91.47286822
95,post,Thermedol,2,1,60.46511628
96,post,Thermedol,2,1,89.92248062
97,post,Thermedol,2,1,55.03875969
99,post,Thermedol,2,1,65.89147287
100,post,Thermedol,2,1,78.29457364
101,post,Thermedol,2,1,90.69767442
102,post,Thermedol,2,1,63.56589147
103,post,Thermedol,2,1,88.37209302
104,post,Thermedol,2,1,48.8372093
105,post,Thermedol,2,1,48.8372093
106,post,Thermedol,2,1,74.41860465
107,post,Thermedol,2,1,93.02325581
108,post,Thermedol,2,1,86.04651163
109,post,Thermedol,2,1,91.47286822
110,post,Thermedol,2,1,56.58914729
111,post,Thermedol,2,1,86.04651163
112,post,Thermedol,2,1,56.58914729
113,post,Thermedol,2,1,87.59689922
114,post,Thermedol,2,1,55.03875969
115,post,Thermedol,2,1,79.06976744
116,post,Thermedol,2,1,76.74418605
117,post,Thermedol,2,1,88.37209302
118,post,Thermedol,2,1,80.62015504
119,post,Thermedol,2,1,83.72093023
127,post,Thermedol,2,1,63.56589147
129,post,Thermedol,2,1,75.96899225
130,post,Thermedol,2,1,85.27131783
92,pre,Thermedol,1,1,81.39534884
93,pre,Thermedol,1,1,68.99224806
94,pre,Thermedol,1,1,89.92248062
95,pre,Thermedol,1,1,68.21705426
96,pre,Thermedol,1,1,86.04651163
97,pre,Thermedol,1,1,60.46511628
99,pre,Thermedol,1,1,81.39534884
100,pre,Thermedol,1,1,86.04651163
101,pre,Thermedol,1,1,86.04651163
102,pre,Thermedol,1,1,83.72093023
103,pre,Thermedol,1,1,90.69767442
104,pre,Thermedol,1,1,72.86821705
105,pre,Thermedol,1,1,47.28682171
106,pre,Thermedol,1,1,65.89147287
107,pre,Thermedol,1,1,93.02325581
108,pre,Thermedol,1,1,94.57364341
109,pre,Thermedol,1,1,87.59689922
110,pre,Thermedol,1,1,61.24031008
111,pre,Thermedol,1,1,89.92248062
112,pre,Thermedol,1,1,68.99224806
113,pre,Thermedol,1,1,96.12403101
114,pre,Thermedol,1,1,60.46511628
115,pre,Thermedol,1,1,82.94573643
116,pre,Thermedol,1,1,83.72093023
117,pre,Thermedol,1,1,89.92248062
118,pre,Thermedol,1,1,84.49612403
119,pre,Thermedol,1,1,85.27131783
127,pre,Thermedol,1,1,73.64341085
129,pre,Thermedol,1,1,75.96899225
130,pre,Thermedol,1,1,93.02325581
92,post,Thermedol,2,1,92.24806202
93,post,Thermedol,2,1,86.82170543
94,post,Thermedol,2,1,94.57364341
95,post,Thermedol,2,1,71.31782946
96,post,Thermedol,2,1,76.74418605
97,post,Thermedol,2,1,65.89147287
99,post,Thermedol,2,1,51.1627907
100,post,Thermedol,2,1,86.82170543
101,post,Thermedol,2,1,91.47286822
102,post,Thermedol,2,1,88.37209302
103,post,Thermedol,2,1,82.17054264
104,post,Thermedol,2,1,42.63565891
105,post,Thermedol,2,1,42.63565891
106,post,Thermedol,2,1,74.41860465
107,post,Thermedol,2,1,95.34883721
108,post,Thermedol,2,1,91.47286822
109,post,Thermedol,2,1,90.69767442
110,post,Thermedol,2,1,74.41860465
111,post,Thermedol,2,1,92.24806202
112,post,Thermedol,2,1,86.04651163
113,post,Thermedol,2,1,96.89922481
114,post,Thermedol,2,1,60.46511628
115,post,Thermedol,2,1,87.59689922
116,post,Thermedol,2,1,75.19379845
117,post,Thermedol,2,1,95.34883721
118,post,Thermedol,2,1,76.74418605
119,post,Thermedol,2,1,73.64341085
127,post,Thermedol,2,1,81.39534884
129,post,Thermedol,2,1,65.11627907
130,post,Thermedol,2,1,97.6744186
92,pre,Vaseline,1,0,39.53488372
93,pre,Vaseline,1,0,6.976744186
94,pre,Vaseline,1,0,4.651162791
95,pre,Vaseline,1,0,21.70542636
96,pre,Vaseline,1,0,26.35658915
97,pre,Vaseline,1,0,18.60465116
99,pre,Vaseline,1,0,10.85271318
100,pre,Vaseline,1,0,6.201550388
101,pre,Vaseline,1,0,10.85271318
102,pre,Vaseline,1,0,32.55813953
103,pre,Vaseline,1,0,6.976744186
104,pre,Vaseline,1,0,2.325581395
105,pre,Vaseline,1,0,21.70542636
106,pre,Vaseline,1,0,10.85271318
107,pre,Vaseline,1,0,4.651162791
108,pre,Vaseline,1,0,10.07751938
109,pre,Vaseline,1,0,18.60465116
110,pre,Vaseline,1,0,31.00775194
111,pre,Vaseline,1,0,6.201550388
112,pre,Vaseline,1,0,17.05426357
113,pre,Vaseline,1,0,3.100775194
114,pre,Vaseline,1,0,17.82945736
115,pre,Vaseline,1,0,10.07751938
116,pre,Vaseline,1,0,4.651162791
117,pre,Vaseline,1,0,38.75968992
118,pre,Vaseline,1,0,55.81395349
119,pre,Vaseline,1,0,6.201550388
127,pre,Vaseline,1,0,21.70542636
129,pre,Vaseline,1,0,11.62790698
130,pre,Vaseline,1,0,1.550387597
92,post,Vaseline,2,0,27.13178295
93,post,Vaseline,2,0,12.40310078
94,post,Vaseline,2,0,4.651162791
95,post,Vaseline,2,0,17.82945736
96,post,Vaseline,2,0,19.37984496
97,post,Vaseline,2,0,27.13178295
99,post,Vaseline,2,0,2.325581395
100,post,Vaseline,2,0,6.201550388
101,post,Vaseline,2,0,3.875968992
102,post,Vaseline,2,0,15.50387597
103,post,Vaseline,2,0,8.527131783
104,post,Vaseline,2,0,6.201550388
105,post,Vaseline,2,0,23.25581395
106,post,Vaseline,2,0,0
107,post,Vaseline,2,0,12.40310078
108,post,Vaseline,2,0,7.751937984
109,post,Vaseline,2,0,17.82945736
110,post,Vaseline,2,0,30.23255814
111,post,Vaseline,2,0,6.201550388
112,post,Vaseline,2,0,30.23255814
113,post,Vaseline,2,0,3.875968992
114,post,Vaseline,2,0,19.37984496
115,post,Vaseline,2,0,7.751937984
116,post,Vaseline,2,0,6.201550388
117,post,Vaseline,2,0,17.05426357
118,post,Vaseline,2,0,53.48837209
119,post,Vaseline,2,0,1.550387597
127,post,Vaseline,2,0,27.13178295
129,post,Vaseline,2,0,28.68217054
130,post,Vaseline,2,0,13.17829457
