DyadID,Role,Condition_sequence,effectiveness,doc_empathy,Time_new,Condition_new,Time,Condition,Block,Half,Time_new_r
92,2,1,40.278,15.278,Pre,Vaseline,1,0,B1,H1,Pre1
92,2,1,43.287,20.602,Post,Vaseline,2,0,B1,H1,Post1
92,2,2,0,29.398,Pre,Thermedol,1,1,B2,H1,Pre2
92,2,2,60.88,25.231,Post,Thermedol,2,1,B2,H1,Post2
92,2,3,27.546,19.213,Pre,Thermedol,1,1,B3,H2,Pre3
92,2,3,54.63,23.611,Post,Thermedol,2,1,B3,H2,Post3
92,2,4,60.417,0,Pre,Vaseline,1,0,B4,H2,Pre4
92,2,4,35.648,6.713,Post,Vaseline,2,0,B4,H2,Post4
93,2,1,14.583,36.574,Pre,Vaseline,1,0,B1,H1,Pre1
93,2,1,0,28.009,Post,Vaseline,2,0,B1,H1,Post1
93,2,2,6.25,65.971,Pre,Thermedol,1,1,B2,H1,Pre2
93,2,2,47.222,62.269,Post,Thermedol,2,1,B2,H1,Post2
93,2,3,21.528,51.62,Pre,Thermedol,1,1,B3,H2,Pre3
93,2,3,9.7222,49.537,Post,Thermedol,2,1,B3,H2,Post3
93,2,4,11.806,70.37,Pre,Vaseline,1,0,B4,H2,Pre4
93,2,4,5.787,76.157,Post,Vaseline,2,0,B4,H2,Post4
94,2,1,53.241,68.519,Pre,Vaseline,1,0,B1,H1,Pre1
94,2,1,57.87,64.12,Post,Vaseline,2,0,B1,H1,Post1
94,2,2,29.63,70.833,Pre,Thermedol,1,1,B2,H1,Pre2
94,2,2,51.157,74.537,Post,Thermedol,2,1,B2,H1,Post2
94,2,3,51.389,67.13,Pre,Thermedol,1,1,B3,H2,Pre3
94,2,3,37.963,70.37,Post,Thermedol,2,1,B3,H2,Post3
94,2,4,68.981,74.074,Pre,Vaseline,1,0,B4,H2,Pre4
94,2,4,57.407,67.824,Post,Vaseline,2,0,B4,H2,Post4
95,2,1,58.333,76.852,Pre,Vaseline,1,0,B1,H1,Pre1
95,2,1,82.176,0,Post,Vaseline,2,0,B1,H1,Post1
95,2,2,11.343,67.361,Pre,Thermedol,1,1,B2,H1,Pre2
95,2,2,72.454,58.102,Post,Thermedol,2,1,B2,H1,Post2
95,2,3,78.241,60.185,Pre,Thermedol,1,1,B3,H2,Pre3
95,2,3,61.806,51.157,Post,Thermedol,2,1,B3,H2,Post3
95,2,4,73.611,62.963,Pre,Vaseline,1,0,B4,H2,Pre4
95,2,4,73.148,47.454,Post,Vaseline,2,0,B4,H2,Post4
96,2,1,8.7963,51.62,Pre,Vaseline,1,0,B1,H1,Pre1
96,2,1,5.3241,90.972,Post,Vaseline,2,0,B1,H1,Post1
96,2,2,13.889,81.944,Pre,Thermedol,1,1,B2,H1,Pre2
96,2,2,35.417,94.676,Post,Thermedol,2,1,B2,H1,Post2
96,2,3,49.769,82.87,Pre,Thermedol,1,1,B3,H2,Pre3
96,2,3,65.046,85.417,Post,Thermedol,2,1,B3,H2,Post3
96,2,4,5.0926,79.861,Pre,Vaseline,1,0,B4,H2,Pre4
96,2,4,6.713,95.139,Post,Vaseline,2,0,B4,H2,Post4
97,2,1,52.315,80.556,Pre,Vaseline,1,0,B1,H1,Pre1
97,2,1,56.944,88.889,Post,Vaseline,2,0,B1,H1,Post1
97,2,2,19.907,78.472,Pre,Thermedol,1,1,B2,H1,Pre2
97,2,2,81.713,86.806,Post,Thermedol,2,1,B2,H1,Post2
97,2,3,79.398,82.87,Pre,Thermedol,1,1,B3,H2,Pre3
97,2,3,77.083,75,Post,Thermedol,2,1,B3,H2,Post3
97,2,4,45.833,76.157,Pre,Vaseline,1,0,B4,H2,Pre4
97,2,4,54.398,89.12,Post,Vaseline,2,0,B4,H2,Post4
99,2,1,27.778,40.509,Pre,Vaseline,1,0,B1,H1,Pre1
99,2,1,0,52.083,Post,Vaseline,2,0,B1,H1,Post1
99,2,2,46.991,43.056,Pre,Thermedol,1,1,B2,H1,Pre2
99,2,2,39.12,33.102,Post,Thermedol,2,1,B2,H1,Post2
99,2,3,70.139,34.954,Pre,Thermedol,1,1,B3,H2,Pre3
99,2,3,74.537,65.509,Post,Thermedol,2,1,B3,H2,Post3
99,2,4,27.083,50.926,Pre,Vaseline,1,0,B4,H2,Pre4
99,2,4,72.685,49.074,Post,Vaseline,2,0,B4,H2,Post4
100,2,1,29.398,58.565,Pre,Vaseline,1,0,B1,H1,Pre1
100,2,1,4.3981,49.074,Post,Vaseline,2,0,B1,H1,Post1
100,2,2,19.444,42.13,Pre,Thermedol,1,1,B2,H1,Pre2
100,2,2,18.056,51.852,Post,Thermedol,2,1,B2,H1,Post2
100,2,3,8.3333,41.898,Pre,Thermedol,1,1,B3,H2,Pre3
100,2,3,26.389,47.917,Post,Thermedol,2,1,B3,H2,Post3
100,2,4,5.3241,40.046,Pre,Vaseline,1,0,B4,H2,Pre4
100,2,4,0,40.741,Post,Vaseline,2,0,B4,H2,Post4
101,2,1,6.25,48.611,Pre,Vaseline,1,0,B1,H1,Pre1
101,2,1,0,50.463,Post,Vaseline,2,0,B1,H1,Post1
101,2,2,0,51.157,Pre,Thermedol,1,1,B2,H1,Pre2
101,2,2,39.583,53.472,Post,Thermedol,2,1,B2,H1,Post2
101,2,3,30.556,51.389,Pre,Thermedol,1,1,B3,H2,Pre3
101,2,3,24.537,51.389,Post,Thermedol,2,1,B3,H2,Post3
101,2,4,8.1019,54.398,Pre,Vaseline,1,0,B4,H2,Pre4
101,2,4,0,53.241,Post,Vaseline,2,0,B4,H2,Post4
102,2,1,53.009,23.38,Pre,Vaseline,1,0,B1,H1,Pre1
102,2,1,41.898,0,Post,Vaseline,2,0,B1,H1,Post1
102,2,2,9.0278,0,Pre,Thermedol,1,1,B2,H1,Pre2
102,2,2,59.491,0,Post,Thermedol,2,1,B2,H1,Post2
102,2,3,0.92593,0.46296,Pre,Thermedol,1,1,B3,H2,Pre3
102,2,3,77.546,0,Post,Thermedol,2,1,B3,H2,Post3
102,2,4,0,0,Pre,Vaseline,1,0,B4,H2,Pre4
102,2,4,28.704,0,Post,Vaseline,2,0,B4,H2,Post4
103,2,1,49.074,0,Pre,Vaseline,1,0,B1,H1,Pre1
103,2,1,56.713,83.565,Post,Vaseline,2,0,B1,H1,Post1
103,2,2,30.787,88.657,Pre,Thermedol,1,1,B2,H1,Pre2
103,2,2,54.861,100,Post,Thermedol,2,1,B2,H1,Post2
103,2,3,25.694,90.741,Pre,Thermedol,1,1,B3,H2,Pre3
103,2,3,54.398,100,Post,Thermedol,2,1,B3,H2,Post3
103,2,4,40.972,100,Pre,Vaseline,1,0,B4,H2,Pre4
103,2,4,72.454,100,Post,Vaseline,2,0,B4,H2,Post4
104,2,1,2.5463,91.204,Pre,Vaseline,1,0,B1,H1,Pre1
104,2,1,2.5463,67.361,Post,Vaseline,2,0,B1,H1,Post1
104,2,2,12.963,69.444,Pre,Thermedol,1,1,B2,H1,Pre2
104,2,2,21.065,61.343,Post,Thermedol,2,1,B2,H1,Post2
104,2,3,24.306,61.574,Pre,Thermedol,1,1,B3,H2,Pre3
104,2,3,53.704,71.991,Post,Thermedol,2,1,B3,H2,Post3
104,2,4,14.815,67.13,Pre,Vaseline,1,0,B4,H2,Pre4
104,2,4,7.8704,74.074,Post,Vaseline,2,0,B4,H2,Post4
105,2,1,40.509,71.065,Pre,Vaseline,1,0,B1,H1,Pre1
105,2,1,8.3333,75.231,Post,Vaseline,2,0,B1,H1,Post1
105,2,2,30.093,73.843,Pre,Thermedol,1,1,B2,H1,Pre2
105,2,2,40.972,82.407,Post,Thermedol,2,1,B2,H1,Post2
105,2,3,57.639,72.685,Pre,Thermedol,1,1,B3,H2,Pre3
105,2,3,68.519,72.454,Post,Thermedol,2,1,B3,H2,Post3
105,2,4,46.759,83.102,Pre,Vaseline,1,0,B4,H2,Pre4
105,2,4,49.074,79.63,Post,Vaseline,2,0,B4,H2,Post4
106,2,1,0,0,Pre,Vaseline,1,0,B1,H1,Pre1
106,2,1,35.417,68.287,Post,Vaseline,2,0,B1,H1,Post1
106,2,2,41.898,66.435,Pre,Thermedol,1,1,B2,H1,Pre2
106,2,2,61.111,63.657,Post,Thermedol,2,1,B2,H1,Post2
106,2,3,64.12,65.509,Pre,Thermedol,1,1,B3,H2,Pre3
106,2,3,62.963,65.278,Post,Thermedol,2,1,B3,H2,Post3
106,2,4,31.25,71.528,Pre,Vaseline,1,0,B4,H2,Pre4
106,2,4,34.259,64.815,Post,Vaseline,2,0,B4,H2,Post4
107,2,1,20.37,50.694,Pre,Vaseline,1,0,B1,H1,Pre1
107,2,1,33.796,32.639,Post,Vaseline,2,0,B1,H1,Post1
107,2,2,33.796,20.602,Pre,Thermedol,1,1,B2,H1,Pre2
107,2,2,28.009,27.778,Post,Thermedol,2,1,B2,H1,Post2
107,2,3,45.37,28.704,Pre,Thermedol,1,1,B3,H2,Pre3
107,2,3,61.574,26.389,Post,Thermedol,2,1,B3,H2,Post3
107,2,4,57.639,22.454,Pre,Vaseline,1,0,B4,H2,Pre4
107,2,4,26.62,30.093,Post,Vaseline,2,0,B4,H2,Post4
108,2,1,30.787,52.546,Pre,Vaseline,1,0,B1,H1,Pre1
108,2,1,1.8519,71.991,Post,Vaseline,2,0,B1,H1,Post1
108,2,2,8.5648,84.491,Pre,Thermedol,1,1,B2,H1,Pre2
108,2,2,40.046,92.13,Post,Thermedol,2,1,B2,H1,Post2
108,2,3,22.454,100,Pre,Thermedol,1,1,B3,H2,Pre3
108,2,3,22.917,100,Post,Thermedol,2,1,B3,H2,Post3
108,2,4,1.3889,100,Pre,Vaseline,1,0,B4,H2,Pre4
