DyadID,Role,Condition_sequence,Condition_new,Condition,Condition_with_sequence,Block,Half,effective_diff,empathy_diff
92,2,1,Vaseline,0,Vaseline1,B1,H1,3.009,-4.629
92,2,2,Thermedol,1,Thermedol1,B2,H1,60.88,-14.12
92,2,3,Thermedol,1,Thermedol2,B3,H2,27.084,4.398
92,2,4,Vaseline,0,Vaseline2,B4,H2,-24.769,6.713
93,2,1,Vaseline,0,Vaseline1,B1,H1,-14.583,-37.962
93,2,2,Thermedol,1,Thermedol1,B2,H1,40.972,25.695
93,2,3,Thermedol,1,Thermedol2,B3,H2,-11.8058,-2.083
93,2,4,Vaseline,0,Vaseline2,B4,H2,-6.019,5.787
94,2,1,Vaseline,0,Vaseline1,B1,H1,4.629,-10.417
94,2,2,Thermedol,1,Thermedol1,B2,H1,21.527,-2.314
94,2,3,Thermedol,1,Thermedol2,B3,H2,-13.426,3.24
94,2,4,Vaseline,0,Vaseline2,B4,H2,-11.574,-6.25
95,2,1,Vaseline,0,Vaseline1,B1,H1,23.843,-76.852
95,2,2,Thermedol,1,Thermedol1,B2,H1,61.111,-9.259
95,2,3,Thermedol,1,Thermedol2,B3,H2,-16.435,-9.028
95,2,4,Vaseline,0,Vaseline2,B4,H2,-0.463,-15.509
96,2,1,Vaseline,0,Vaseline1,B1,H1,-3.4722,39.352
96,2,2,Thermedol,1,Thermedol1,B2,H1,21.528,12.732
96,2,3,Thermedol,1,Thermedol2,B3,H2,15.277,2.547
96,2,4,Vaseline,0,Vaseline2,B4,H2,1.6204,15.278
97,2,1,Vaseline,0,Vaseline1,B1,H1,4.629,8.333
97,2,2,Thermedol,1,Thermedol1,B2,H1,61.806,8.334
97,2,3,Thermedol,1,Thermedol2,B3,H2,-2.315,-7.87
97,2,4,Vaseline,0,Vaseline2,B4,H2,8.565,12.963
99,2,1,Vaseline,0,Vaseline1,B1,H1,-27.778,-13.426
99,2,2,Thermedol,1,Thermedol1,B2,H1,-7.871,-9.954
99,2,3,Thermedol,1,Thermedol2,B3,H2,4.398,5.555
99,2,4,Vaseline,0,Vaseline2,B4,H2,45.602,-1.852
100,2,1,Vaseline,0,Vaseline1,B1,H1,-24.9999,-9.491
100,2,2,Thermedol,1,Thermedol1,B2,H1,-1.388,9.722
100,2,3,Thermedol,1,Thermedol2,B3,H2,18.0557,6.019
100,2,4,Vaseline,0,Vaseline2,B4,H2,-5.3241,0.695
101,2,1,Vaseline,0,Vaseline1,B1,H1,-6.25,1.852
101,2,2,Thermedol,1,Thermedol1,B2,H1,39.583,2.315
101,2,3,Thermedol,1,Thermedol2,B3,H2,-6.019,0
101,2,4,Vaseline,0,Vaseline2,B4,H2,-8.1019,-1.157
102,2,1,Vaseline,0,Vaseline1,B1,H1,-11.111,-23.38
102,2,2,Thermedol,1,Thermedol1,B2,H1,50.4632,0
102,2,3,Thermedol,1,Thermedol2,B3,H2,76.62007,-0.46296
102,2,4,Vaseline,0,Vaseline2,B4,H2,28.704,0
103,2,1,Vaseline,0,Vaseline1,B1,H1,7.639,83.565
103,2,2,Thermedol,1,Thermedol1,B2,H1,24.074,11.343
103,2,3,Thermedol,1,Thermedol2,B3,H2,28.704,9.259
103,2,4,Vaseline,0,Vaseline2,B4,H2,31.482,0
104,2,1,Vaseline,0,Vaseline1,B1,H1,0,-23.843
104,2,2,Thermedol,1,Thermedol1,B2,H1,8.102,-8.101
104,2,3,Thermedol,1,Thermedol2,B3,H2,29.398,10.417
104,2,4,Vaseline,0,Vaseline2,B4,H2,-6.9446,6.944
105,2,1,Vaseline,0,Vaseline1,B1,H1,-32.1757,4.166
105,2,2,Thermedol,1,Thermedol1,B2,H1,10.879,8.564
105,2,3,Thermedol,1,Thermedol2,B3,H2,10.88,-0.231
105,2,4,Vaseline,0,Vaseline2,B4,H2,2.315,-3.472
106,2,1,Vaseline,0,Vaseline1,B1,H1,35.417,68.287
106,2,2,Thermedol,1,Thermedol1,B2,H1,19.213,-2.778
106,2,3,Thermedol,1,Thermedol2,B3,H2,-1.157,-0.231
106,2,4,Vaseline,0,Vaseline2,B4,H2,3.009,-6.713
107,2,1,Vaseline,0,Vaseline1,B1,H1,13.426,-18.055
107,2,2,Thermedol,1,Thermedol1,B2,H1,-5.787,7.176
107,2,3,Thermedol,1,Thermedol2,B3,H2,16.204,-2.315
107,2,4,Vaseline,0,Vaseline2,B4,H2,-31.019,7.639
108,2,1,Vaseline,0,Vaseline1,B1,H1,-28.9351,19.445
108,2,2,Thermedol,1,Thermedol1,B2,H1,31.4812,7.639
108,2,3,Thermedol,1,Thermedol2,B3,H2,0.463,0
108,2,4,Vaseline,0,Vaseline2,B4,H2,2.0833,0
109,2,1,Vaseline,0,Vaseline1,B1,H1,3.472,50.463
109,2,2,Thermedol,1,Thermedol1,B2,H1,-30.324,-15.973
109,2,3,Thermedol,1,Thermedol2,B3,H2,-7.407,2.547
109,2,4,Vaseline,0,Vaseline2,B4,H2,-9.259,6.713
110,2,1,Vaseline,0,Vaseline1,B1,H1,12.732,15.972
110,2,2,Thermedol,1,Thermedol1,B2,H1,52.546,4.861
110,2,3,Thermedol,1,Thermedol2,B3,H2,0.694,6.25
110,2,4,Vaseline,0,Vaseline2,B4,H2,-34.259,2.083
111,2,1,Vaseline,0,Vaseline1,B1,H1,21.297,1.389
111,2,2,Thermedol,1,Thermedol1,B2,H1,65.046,7.176
111,2,3,Thermedol,1,Thermedol2,B3,H2,-0.695,3.472
111,2,4,Vaseline,0,Vaseline2,B4,H2,-3.6757,11.343
112,2,1,Vaseline,0,Vaseline1,B1,H1,-39.352,-14.352
112,2,2,Thermedol,1,Thermedol1,B2,H1,3.934,0.232
112,2,3,Thermedol,1,Thermedol2,B3,H2,6.25,-6.018
112,2,4,Vaseline,0,Vaseline2,B4,H2,13.4262,1.62
113,2,1,Vaseline,0,Vaseline1,B1,H1,-2.315,19.676
113,2,2,Thermedol,1,Thermedol1,B2,H1,0,-7.176
113,2,3,Thermedol,1,Thermedol2,B3,H2,28.935,-0.694
113,2,4,Vaseline,0,Vaseline2,B4,H2,14.12,-0.926
114,2,1,Vaseline,0,Vaseline1,B1,H1,68.751,-5.093
114,2,2,Thermedol,1,Thermedol1,B2,H1,26.852,-17.361
114,2,3,Thermedol,1,Thermedol2,B3,H2,-47.686,-16.4351
114,2,4,Vaseline,0,Vaseline2,B4,H2,25.463,0.463
115,2,1,Vaseline,0,Vaseline1,B1,H1,40.972,1.852
115,2,2,Thermedol,1,Thermedol1,B2,H1,5.787,0.463
115,2,3,Thermedol,1,Thermedol2,B3,H2,-3.935,-3.704
115,2,4,Vaseline,0,Vaseline2,B4,H2,0.463,-0.231
116,2,1,Vaseline,0,Vaseline1,B1,H1,-3.009,-0.694
116,2,2,Thermedol,1,Thermedol1,B2,H1,-2.778,12.731
116,2,3,Thermedol,1,Thermedol2,B3,H2,-1.62,-18.287
116,2,4,Vaseline,0,Vaseline2,B4,H2,-15.509,-3.935
117,2,1,Vaseline,0,Vaseline1,B1,H1,23.148,-4.861
117,2,2,Thermedol,1,Thermedol1,B2,H1,21.99,-3.472
117,2,3,Thermedol,1,Thermedol2,B3,H2,-0.232,-22.454
117,2,4,Vaseline,0,Vaseline2,B4,H2,-13.658,-0.231
118,2,1,Vaseline,0,Vaseline1,B1,H1,-52.546,-12.268
118,2,2,Thermedol,1,Thermedol1,B2,H1,-46.527,-10.649
118,2,3,Thermedol,1,Thermedol2,B3,H2,11.343,-1.389
118,2,4,Vaseline,0,Vaseline2,B4,H2,30.3237,-3.935
119,2,1,Vaseline,0,Vaseline1,B1,H1,10.88,-5.324
119,2,2,Thermedol,1,Thermedol1,B2,H1,-59.491,-5.093
119,2,3,Thermedol,1,Thermedol2,B3,H2,39.12,7.87
119,2,4,Vaseline,0,Vaseline2,B4,H2,46.296,-4.167
127,2,1,Vaseline,0,Vaseline1,B1,H1,-0.232,-4.861
127,2,2,Thermedol,1,Thermedol1,B2,H1,20.371,12.037
127,2,3,Thermedol,1,Thermedol2,B3,H2,3.936,-3.241
127,2,4,Vaseline,0,Vaseline2,B4,H2,18.75,-16.436
129,2,1,Vaseline,0,Vaseline1,B1,H1,-12.963,67.593
129,2,2,Thermedol,1,Thermedol1,B2,H1,16.666,-6.944
